depth,size,backend,batch,gpu_median_ms,gpu_p95_ms,app_median_ms,app_p95_ms,device_loop_images_per_second,app_loop_images_per_second
3,32,pytorch,1,0.5386079847812653,0.5589008152484893,0.6660490034846589,0.6945542263565585,1952.9668165135822,1470.5505630525902
3,32,tensorrt,1,0.21079999953508377,0.21356960162520408,0.28684400604106486,0.2946788736153394,5215.026224724009,3383.088527484609
3,128,pytorch,1,0.8861759901046753,0.891353577375412,1.1268195084994659,1.1458080378361046,1204.254931297029,874.485475729641
3,128,tensorrt,1,0.3697119951248169,0.3736048057675362,0.5693535204045475,0.586922034563031,2840.029489583137,1711.7018564336588
3,256,pytorch,1,2.61188805103302,2.6173295617103576,3.124208509689197,3.1436174424015917,387.5167764124489,316.7347756415128
3,256,tensorrt,1,0.9866399765014648,0.9923952162265778,1.4731934934388846,1.48658790421905,1031.1305638634246,665.7620070430062
3,512,pytorch,1,9.65719985961914,9.668718433380127,13.610087989945896,22.048458980862048,103.94198253651525,60.92664962069529
3,512,tensorrt,1,3.9398239850997925,3.9484543442726134,7.829094000044279,7.867808720038738,254.63384712362839,122.51229984872732
6,32,pytorch,1,0.8882240056991577,0.8979824125766754,1.0125350090675056,1.0404757587821223,1159.1844748552908,975.5656606371379
6,32,tensorrt,1,0.31830400228500366,0.32105760723352433,0.3962554910685867,0.4044419460115023,3347.295907910894,2470.01976434863
6,128,pytorch,1,1.3969599604606628,1.4088064074516295,1.6437794838566333,1.658832847897429,742.0221580551876,602.5981719953012
6,128,tensorrt,1,0.548335999250412,0.5523584097623825,0.753025509766303,0.7665938057471067,1889.8204802625917,1302.5088706741856
6,256,pytorch,1,4.1462562084198,4.152532863616943,4.6532040141755715,4.6682426269399,243.2885679825807,213.4438774632279
6,256,tensorrt,1,1.4360640048980713,1.4438751757144928,1.9203680130885914,1.9597889986471273,707.0534912816789,511.5295277116745
6,512,pytorch,1,15.359007835388184,15.367833518981934,16.830830994877033,16.848683457646985,65.25939787134614,59.11493544374841
6,512,tensorrt,1,5.848752021789551,5.856047892570496,7.28110849740915,7.334340875968337,171.30059001413767,135.800938140663
10,32,pytorch,1,1.349567949771881,1.3626608312129975,1.4882054965710267,1.513328039436601,756.2335918923155,665.4084546753767
10,32,tensorrt,1,0.463359996676445,0.4662415891885757,0.5437679938040674,0.5511774477781728,2255.707192271452,1808.715952278997
10,128,pytorch,1,2.082304000854492,2.0889567852020265,2.3308985109906644,2.345968365261797,492.288880460436,423.61952147797143
10,128,tensorrt,1,0.7906399965286255,0.793953588604927,0.989057996775955,1.0031651952886023,1300.027985434268,996.426455994789
10,256,pytorch,1,6.190959930419922,6.202918267250061,6.70746699324809,6.728427100460976,162.41726341216034,148.3825917629944
10,256,tensorrt,1,2.019551992416382,2.031691300868988,2.495515494956635,2.5139765595667996,501.9583805966381,396.50685390776215
10,512,pytorch,1,23.08996868133545,23.10049819946289,24.599841999588534,24.651644901314285,43.37143959726458,40.499456452614886
10,512,tensorrt,1,8.497440338134766,8.512380790710449,9.937324502971023,9.955957348574884,117.81733439749051,99.92493748760204
13,32,pytorch,1,1.6992639899253845,1.7181008040905,1.8387035088380799,1.8719424449955113,594.3498004890391,534.7202493609121
13,32,tensorrt,1,0.5674880146980286,0.5736031949520111,0.6548384990310296,0.6838444838649593,1830.0673061164398,1462.7980607209784
13,128,pytorch,1,2.597551941871643,2.6088175892829897,2.8503899957286194,2.90087398752803,393.41559361088076,346.40532270953753
13,128,tensorrt,1,0.9716959893703461,0.9762079983949661,1.1783505033235997,1.1955415946431458,1056.2037154447694,837.3651629881714
13,256,pytorch,1,7.7238078117370605,7.73198401927948,8.223449491197243,8.244107713107951,130.07332483923196,121.12772969021194
13,256,tensorrt,1,2.4764639139175415,2.493993580341339,2.9600459965877235,3.0015291151357815,406.8591224087718,334.0189763191721
13,512,pytorch,1,28.672624588012695,28.70016450881958,30.160623995470814,30.2100034270552,34.93168361046992,33.06562214162334
13,512,tensorrt,1,10.453824043273926,10.475990343093873,11.895996518433094,11.938165460014716,95.76973061588222,83.35700915553005
16,32,pytorch,1,2.050719976425171,2.0654559969902038,2.1924095053691417,2.2208889058674686,495.193567051763,453.0452959251367
16,32,tensorrt,1,0.6748480200767517,0.6789151847362518,0.7614819915033877,0.7741231689578854,1543.034998664665,1296.6325300534397
16,128,pytorch,1,3.110383987426758,3.1203760266304017,3.3708854898577556,3.3856233436381444,326.4437744591202,295.14039709342796
16,128,tensorrt,1,1.1479679942131042,1.1546704351902009,1.3541614898713306,1.3672147222678177,892.8416775889566,729.6890648067941
16,256,pytorch,1,9.261712074279785,9.279101133346558,9.764112997800112,9.795393905369565,108.37774620006392,102.06462112878106
16,256,tensorrt,1,2.837040066719055,2.8695600748062136,3.309540479676798,3.32964521512622,355.4977468684903,299.4920073508335
16,512,pytorch,1,34.3897762298584,34.42255268096924,35.85204150294885,35.89505036507035,29.116592246045162,27.831148729040372
16,512,tensorrt,1,12.38708782196045,12.406731367111206,13.81927049078513,13.876210451417137,80.80905123372138,71.9274499982937
