sigma_mul,bicubic_psnr,model_psnr,model_ssim,model_lpips
0.05000,22.09322,22.93095,0.53263,0.21981
0.10000,21.15007,22.56272,0.50808,0.22735
0.15000,20.01048,22.08201,0.48014,0.23223
0.19000,19.08207,21.65406,0.45446,0.24085
0.25000,17.75728,21.15657,0.41326,0.26642
0.30000,16.74598,20.90289,0.38630,0.28212
0.35000,15.82376,20.68723,0.36522,0.29229
0.40000,14.98611,20.50730,0.34790,0.30322
0.45000,14.22696,20.34877,0.33394,0.31400
